cgn,CG_Subgroup,FCID_Code,FCID_Desc
10,10C,1003181000,"Grapefruit, juice"
10,10C,1003307000,Pummelo
11,11,1100007000,"Apple, fruit with peel"
11,11,1100008000,"Apple, peeled fruit"
11,11,1100008001,"Apple, peeled fruit-babyfood"
11,11,1100009000,"Apple, dried"
11,11,1100009001,"Apple, dried-babyfood"
11,11,1100010000,"Apple, juice"
11,11,1100010001,"Apple, juice-babyfood"
11,11,1100011000,"Apple, sauce"
11,11,1100011001,"Apple, sauce-babyfood"
11,11,1100129000,Crabapple
11,11,1100210000,Loquat
11,11,1100266000,Pear
11,11,1100266001,Pear-babyfood
11,11,1100267000,"Pear, dried"
11,11,1100268000,"Pear, juice"
11,11,1100268001,"Pear, juice-babyfood"
11,11,1100310000,Quince
12,12A,1201090000,Cherry
12,12A,1201090001,Cherry-babyfood
12,12A,1201091000,"Cherry, juice"
12,12A,1201091001,"Cherry, juice-babyfood"
12,12B,1202012000,Apricot
12,12B,1202012001,Apricot-babyfood
12,12B,1202013000,"Apricot, dried"
12,12B,1202014000,"Apricot, juice"
12,12B,1202014001,"Apricot, juice-babyfood"
12,12B,1202230000,Nectarine
12,12B,1202260000,Peach
12,12B,1202260001,Peach-babyfood
12,12B,1202261000,"Peach, dried"
12,12B,1202261001,"Peach, dried-babyfood"
12,12B,1202262000,"Peach, juice"
12,12B,1202262001,"Peach, juice-babyfood"
12,12C,1203285000,Plum
12,12C,1203285001,Plum-babyfood
12,12C,1203286000,"Plum, prune, fresh"
12,12C,1203286001,"Plum, prune, fresh-babyfood"
12,12C,1203287000,"Plum, prune, dried"
12,12C,1203287001,"Plum, prune, dried-babyfood"
12,12C,1203288000,"Plum, prune, juice"
12,12C,1203288001,"Plum, prune, juice-babyfood"
13,13A,1301055000,Blackberry
13,13A,1301056000,"Blackberry, juice"
13,13A,1301056001,"Blackberry, juice-babyfood"
13,13A,1301058000,Boysenberry
13,13A,1301208000,Loganberry
13,13A,1301320000,Raspberry
13,13A,1301320001,Raspberry-babyfood
13,13A,1301321000,"Raspberry, juice"
13,13A,1301321001,"Raspberry, juice-babyfood"
13,13B,1302057000,Blueberry
13,13B,1302057001,Blueberry-babyfood
13,13B,1302136000,Currant
13,13B,1302137000,"Currant, dried"
13,13BC,1302149000,Elderberry
13,13BDEF,1302174000,Gooseberry
13,13B,1302191000,Huckleberry
13,13C,1303227000,Mulberry
13,13DF,1304175000,Grape
13,13DF,1304176000,"Grape, juice"
13,13DF,1304176001,"Grape, juice-babyfood"
13,13DF,1304178000,"Grape, raisin"
13,13DF,1304179000,"Grape, wine and sherry"
13,13DE,1304195000,"Kiwifruit, fuzzy"
13,13GH,1307130000,Cranberry
13,13GH,1307130001,Cranberry-babyfood
13,13GH,1307131000,"Cranberry, dried"
13,13GH,1307132000,"Cranberry, juice"
13,13GH,1307132001,"Cranberry, juice-babyfood"
13,13G,1307359000,Strawberry
13,13G,1307359001,Strawberry-babyfood
13,13G,1307360000,"Strawberry, juice"
13,13G,1307360001,"Strawberry, juice-babyfood"
14,14,1400003000,Almond
14,14,1400003001,Almond-babyfood
14,14,1400004000,"Almond, oil"
14,14,1400004001,"Almond, oil-babyfood"
14,14,1400059000,Brazil nut
14,14,1400068000,Butternut
14,14,1400081000,Cashew
14,14,1400092000,Chestnut
14,14,1400111000,"Coconut, meat"
14,14,1400111001,"Coconut, meat-babyfood"
14,14,1400112000,"Coconut, dried"
14,14,1400113000,"Coconut, milk"
14,14,1400114000,"Coconut, oil"
14,14,1400114001,"Coconut, oil-babyfood"
14,14,1400155000,Hazelnut
14,14,1400156000,"Hazelnut, oil"
14,14,1400185000,Hickory nut
14,14,1400213000,Macadamia nut
14,14,1400269000,Pecan
14,14,1400278000,Pine nut
14,14,1400282000,Pistachio
14,14,1400391000,Walnut
15,15,1500025000,"Barley, pearled barley"
15,15,1500025001,"Barley, pearled barley-babyfood"
15,15,1500026000,"Barley, flour"
15,15,1500026001,"Barley, flour-babyfood"
15,15,1500027000,"Barley, bran"
15,15,1500065000,Buckwheat
15,15,1500066000,"Buckwheat, flour"
15,15,1500120000,"Corn, field, flour"
15,15,1500120001,"Corn, field, flour-babyfood"
15,15,1500121000,"Corn, field, meal"
15,15,1500121001,"Corn, field, meal-babyfood"
15,15,1500122000,"Corn, field, bran"
15,15,1500123000,"Corn, field, starch"
15,15,1500123001,"Corn, field, starch-babyfood"
15,15,1500124000,"Corn, field, syrup"
15,15,1500124001,"Corn, field, syrup-babyfood"
15,15,1500125000,"Corn, field, oil"
15,15,1500125001,"Corn, field, oil-babyfood"
15,15,1500126000,"Corn, pop"
15,15,1500127000,"Corn, sweet"
